P,ET,modeled_Q,obs_Q
0.9,1.7,1.277,2.276
3.7,1.72,1.166,1.728
4.9,1.74,1.238,1.811
7.6,1.76,1.416,2.210
0.1,1.78,1.535,2.575
4.8,1.76,1.437,1.927
3.7,1.78,1.515,2.027
0.2,1.8,1.472,1.794
0,1.83,1.352,1.625
0,1.86,1.274,1.522
4.1,1.89,1.262,1.595
1.5,1.92,1.289,2.010
0,1.95,1.198,2.027
0,1.99,1.136,1.811
0,2.02,1.087,1.595
1.6,2.09,1.043,1.396
0.9,2.13,1.003,1.376
0,2.17,0.966,1.376
18.5,2.2,1.265,1.432
2.1,2.24,1.835,2.808
0.2,2.28,1.518,2.260
0.9,2.32,1.367,1.761
0,2.35,1.291,1.662
0,2.39,1.223,1.582
0,2.43,1.163,1.499
0,2.5,1.108,1.419
0.3,2.53,1.058,1.343
0,2.57,1.012,1.266
8.6,2.6,1.079,1.230
1.4,2.63,1.223,2.293
16.7,2.65,1.39,2.891
4.3,2.68,1.873,4.021
4.4,2.7,1.693,2.958
0,2.72,1.581,2.575
3.3,2.73,1.464,2.193
0,2.69,1.391,2.276
2,2.71,1.303,2.260
0,2.72,1.231,2.010
0,2.74,1.167,1.794
0,2.76,1.11,1.711
0,2.79,1.059,1.605
1.1,2.81,1.012,1.489
0,2.83,0.969,1.379
2.1,2.86,0.93,1.283
10.2,2.89,1.015,1.482
0,2.96,1.186,2.243
0,2.99,1.049,1.662
0,3.02,0.98,0.994
1.5,3.04,0.938,0.771
0,3.06,0.9,0.708
0,3.09,0.865,0.661
0,3.11,0.832,0.578
0,3.13,0.802,0.548
0,3.15,0.773,0.548
0,3.16,0.747,0.552
0,3.14,0.722,0.522
0,3.15,0.698,0.528
0,3.17,0.676,0.495
0.5,3.19,0.655,0.475
0,3.2,0.636,0.518
0,3.22,0.617,0.505
39.3,3.24,1.014,0.897
8.7,3.26,1.93,3.007
9.1,3.29,1.795,1.505
0,3.31,1.727,1.043
9,3.33,1.644,0.814
11.5,3.43,1.906,2.060
0.9,3.45,2.018,1.562
0,3.47,1.741,0.960
0,3.48,1.574,0.738
1.7,3.49,1.458,0.658
0,3.5,1.358,0.685
0,3.5,1.271,0.678
0,3.5,1.195,0.635
2.1,3.49,1.127,0.558
0,3.49,1.068,0.675
0,3.38,1.014,0.548
0,3.37,0.965,0.508
0,3.36,0.921,0.429
0,3.36,0.88,0.415
0,3.36,0.843,0.402
0,3.36,0.809,0.389
0,3.36,0.777,0.382
0,3.37,0.748,0.382
2.4,3.38,0.721,0.382
8.7,3.39,0.747,0.425
1.3,3.46,0.812,0.532
0,3.47,0.74,0.469
0,3.48,0.703,0.409
0,3.5,0.679,0.389
0,3.51,0.656,0.379
0,3.52,0.635,0.349
0,3.53,0.616,0.349
0,3.55,0.597,0.321
15.1,3.56,0.667,0.342
26.5,3.57,1.048,1.120
0,3.62,1.382,1.176
1.4,3.63,1.106,0.545
12.8,3.63,1.122,0.469
1.2,3.64,1.28,0.741
0,3.63,1.128,0.605
0,3.63,1.044,0.492
0.4,3.62,0.99,0.409
1.2,3.61,0.941,0.359
0,3.6,0.898,0.356
1.6,3.58,0.858,0.356
1.1,3.47,0.821,0.376
0.2,3.45,0.788,0.409
0,3.44,0.757,0.359
0,3.43,0.729,0.359
0,3.42,0.702,0.317
0.6,3.42,0.678,0.286
0.5,3.42,0.655,0.286
0.2,3.42,0.633,0.284
0,3.42,0.613,0.272
20.1,3.43,0.722,0.304
